deployment_id,deployment_name,version,environment,status,cpu_usage,memory_usage,latency,build_duration,deployment_duration,error_count,healthy,resource_usage,deployment_speed,failure_risk
120,Tell-Service,1.6.4,DEV,Failed,72.53,78.89,245.73,280.82,288.67,5,0,75.71000000000001,284.745,124.57300000000001
121,Position-Service,1.3.8,UAT,Running,49.96,71.36,397.69,288.11,280.34,4,0,60.66,284.225,119.769
122,Case-Service,1.9.4,PROD,Failed,60.16,37.06,336.64,128.05,139.65,5,0,48.61,133.85000000000002,133.664
123,Watch-Service,1.2.7,DEV,Running,59.48,40.05,212.23,170.18,300.59,0,1,49.765,235.385,21.223
124,Pull-Service,1.9.8,QA,Failed,95.38,95.89,382.77,246.92,116.38,4,0,95.63499999999999,181.64999999999998,118.277
125,Three-Service,1.1.4,QA,Running,29.58,65.79,330.9,253.13,148.76,3,0,47.685,200.945,93.09
126,Itself-Service,1.8.6,PROD,Success,82.92,87.93,91.94,170.99,220.93,4,0,85.42500000000001,195.96,89.194
127,Attention-Service,1.0.0,PROD,Failed,62.7,40.36,160.29,79.23,218.0,5,0,51.53,148.615,116.029
128,Job-Service,1.5.7,PROD,Success,86.91,53.91,124.36,160.28,122.9,5,0,70.41,141.59,112.436
129,World-Service,1.9.0,DEV,Failed,90.77,66.49,296.21,116.17,173.5,1,0,78.63,144.835,49.620999999999995
130,Leg-Service,1.5.1,QA,Failed,77.35,33.69,344.16,168.73,346.06,0,0,55.519999999999996,257.395,34.416000000000004
131,Record-Service,1.6.3,UAT,Success,24.71,52.66,27.65,75.43,45.29,0,1,38.685,60.36,2.7649999999999997
132,Much-Service,1.6.3,QA,Failed,56.64,27.01,170.1,144.53,202.95,5,0,41.825,173.74,117.00999999999999
133,Plan-Service,1.6.5,PROD,Failed,66.45,33.7,393.57,255.68,128.63,0,0,50.075,192.155,39.357
134,Show-Service,1.8.0,UAT,Running,84.34,42.3,318.33,218.79,141.13,0,0,63.32,179.95999999999998,31.833
135,Meet-Service,1.7.9,UAT,Failed,71.55,59.86,168.37,252.57,174.54,3,0,65.705,213.555,76.837
136,Watch-Service,1.9.5,UAT,Success,78.69,35.33,352.2,57.52,107.36,1,0,57.01,82.44,55.22
137,Medical-Service,1.8.4,PROD,Success,27.54,69.64,399.0,226.27,303.75,5,0,48.59,265.01,139.9
138,Experience-Service,1.6.4,QA,Failed,97.02,79.84,199.9,156.85,103.92,0,0,88.43,130.385,19.990000000000002
139,Grow-Service,1.5.0,QA,Failed,21.1,43.53,243.52,170.84,327.78,0,1,32.315,249.31,24.352
140,Politics-Service,1.8.6,PROD,Running,29.43,98.89,354.31,85.49,250.41,2,0,64.16,167.95,75.431
141,Want-Service,1.3.6,UAT,Failed,34.74,44.53,333.78,160.79,256.83,2,0,39.635000000000005,208.81,73.378
142,Cultural-Service,1.2.7,DEV,Failed,96.5,62.13,60.5,39.97,205.33,3,0,79.315,122.65,66.05
143,Current-Service,1.2.1,QA,Failed,65.07,48.38,29.38,73.04,342.02,0,1,56.724999999999994,207.53,2.9379999999999997
144,For-Service,1.5.9,DEV,Running,97.6,55.22,48.11,189.38,48.95,5,0,76.41,119.16499999999999,104.811
145,Require-Service,1.9.4,UAT,Running,65.72,47.11,191.18,85.04,102.79,1,0,56.415,93.915,39.118
146,Street-Service,1.0.1,QA,Running,78.86,63.57,250.57,143.47,295.2,5,0,71.215,219.33499999999998,125.057
147,Fire-Service,1.0.2,DEV,Success,44.22,36.51,204.55,168.01,290.57,2,0,40.364999999999995,229.29,60.455
148,Successful-Service,1.7.9,DEV,Running,22.72,20.26,176.73,119.34,297.48,0,1,21.490000000000002,208.41000000000003,17.673
149,Sense-Service,1.0.6,UAT,Running,89.79,48.13,344.98,253.28,329.45,5,0,68.96000000000001,291.365,134.498
150,Improve-Service,1.2.2,QA,Success,43.48,79.44,73.04,182.62,316.1,2,0,61.459999999999994,249.36,47.304
151,Never-Service,1.0.4,QA,Running,73.14,72.41,21.97,284.88,114.47,2,0,72.775,199.675,42.197
152,Role-Service,1.9.7,UAT,Running,80.66,91.98,256.97,205.06,231.66,4,0,86.32,218.36,105.697
153,Design-Service,1.9.4,QA,Running,67.95,59.01,301.23,34.96,153.34,5,0,63.480000000000004,94.15,130.123
154,Health-Service,1.3.3,PROD,Success,32.93,47.58,232.46,89.48,256.81,1,0,40.254999999999995,173.145,43.246
155,Avoid-Service,1.9.7,PROD,Running,91.16,29.58,77.77,204.81,248.85,4,0,60.37,226.82999999999998,87.777
156,Every-Service,1.4.2,UAT,Success,95.94,64.18,122.87,113.34,102.32,0,0,80.06,107.83,12.287
157,Where-Service,1.1.1,DEV,Failed,48.24,72.84,399.46,290.09,206.08,4,0,60.540000000000006,248.08499999999998,119.946
158,Rest-Service,1.4.0,QA,Success,53.18,97.08,292.09,121.51,74.14,4,0,75.13,97.825,109.209
159,Different-Service,1.1.8,DEV,Failed,39.21,83.16,286.97,265.25,289.34,2,0,61.185,277.29499999999996,68.697
160,Finish-Service,1.6.1,QA,Running,33.08,47.98,190.6,129.48,221.52,2,0,40.53,175.5,59.06
161,Fact-Service,1.3.3,DEV,Success,27.54,92.5,340.05,205.06,244.72,3,0,60.019999999999996,224.89,94.005
162,Investment-Service,1.8.1,PROD,Success,74.7,80.23,248.46,73.47,247.76,3,0,77.465,160.615,84.846
163,Business-Service,1.4.0,QA,Failed,78.68,81.59,306.02,252.03,230.12,0,0,80.135,241.075,30.601999999999997
164,Student-Service,1.2.4,QA,Running,36.55,40.06,266.84,277.08,214.43,2,0,38.305,245.755,66.684
165,Style-Service,1.8.0,DEV,Running,71.81,59.15,300.65,143.52,298.52,5,0,65.48,221.01999999999998,130.065
166,Really-Service,1.8.9,DEV,Running,87.66,87.26,305.88,47.36,134.73,1,0,87.46000000000001,91.04499999999999,50.588
167,Put-Service,1.6.0,QA,Success,73.89,54.33,43.41,38.05,88.1,2,0,64.11,63.074999999999996,44.341
168,And-Service,1.1.8,QA,Failed,26.21,80.1,35.33,205.95,229.72,3,0,53.155,217.83499999999998,63.533
169,Might-Service,1.8.5,QA,Running,68.67,57.58,80.79,74.49,67.5,5,0,63.125,70.995,108.07900000000001
170,Concern-Service,1.3.0,DEV,Running,90.16,56.91,70.15,68.82,273.55,4,0,73.535,171.185,87.015
171,International-Service,1.8.1,PROD,Success,69.31,88.13,393.2,75.48,245.11,1,0,78.72,160.29500000000002,59.32
172,Group-Service,1.9.4,UAT,Running,92.41,33.53,375.56,190.63,284.43,2,0,62.97,237.53,77.556
173,Sell-Service,1.7.4,UAT,Success,29.46,32.63,343.61,263.2,60.02,5,0,31.045,161.60999999999999,134.361
174,Health-Service,1.1.2,UAT,Running,90.64,53.11,295.58,117.7,224.48,4,0,71.875,171.09,109.55799999999999
175,Send-Service,1.6.9,QA,Failed,55.83,28.98,288.6,156.68,60.83,1,0,42.405,108.755,48.86
176,Dream-Service,1.2.4,UAT,Failed,80.32,83.3,301.6,78.87,349.46,5,0,81.81,214.165,130.16
177,Himself-Service,1.2.2,QA,Running,41.44,31.0,376.22,218.27,55.4,0,0,36.22,136.835,37.622
178,Reach-Service,1.2.0,PROD,Success,53.21,67.19,234.12,261.14,333.19,3,0,60.2,297.16499999999996,83.412
179,The-Service,1.9.6,PROD,Success,86.05,25.32,268.4,109.31,53.87,2,0,55.685,81.59,66.84
180,Number-Service,1.3.6,PROD,Running,28.32,62.5,343.09,69.93,88.2,5,0,45.41,79.065,134.309
181,Ten-Service,1.7.0,QA,Failed,47.01,72.69,379.88,78.9,65.28,2,0,59.849999999999994,72.09,77.988
182,Change-Service,1.5.8,DEV,Success,30.39,75.21,135.98,140.78,167.88,3,0,52.8,154.32999999999998,73.598
183,Reality-Service,1.0.9,DEV,Running,88.18,60.76,321.61,166.8,58.0,5,0,74.47,112.4,132.161
184,Wish-Service,1.1.8,PROD,Running,40.71,78.64,364.77,59.09,136.51,0,0,59.675,97.8,36.477
185,Fish-Service,1.3.0,QA,Failed,98.21,69.06,334.26,113.9,148.93,5,0,83.63499999999999,131.41500000000002,133.426
186,Study-Service,1.6.8,PROD,Success,41.06,50.47,392.99,148.98,81.26,3,0,45.765,115.12,99.299
187,Card-Service,1.6.9,QA,Success,67.79,46.38,383.82,194.79,126.47,2,0,57.08500000000001,160.63,78.382
188,Order-Service,1.5.0,UAT,Running,59.32,72.75,82.97,246.87,286.26,5,0,66.035,266.565,108.297
189,Oil-Service,1.5.2,DEV,Success,43.86,95.13,277.49,82.46,255.73,1,0,69.495,169.095,47.749
190,There-Service,1.7.3,UAT,Running,85.18,74.46,296.84,145.84,129.94,1,0,79.82,137.89,49.684
191,Body-Service,1.7.1,UAT,Failed,31.29,82.97,65.7,105.39,186.12,5,0,57.129999999999995,145.755,106.57
192,Kind-Service,1.6.6,DEV,Failed,95.12,95.49,373.47,170.45,57.2,1,0,95.305,113.82499999999999,57.347
193,Bit-Service,1.2.9,UAT,Success,40.18,65.58,240.05,172.48,327.81,3,0,52.879999999999995,250.14499999999998,84.005
194,Along-Service,1.8.4,PROD,Success,45.86,33.16,182.07,227.95,106.89,2,0,39.51,167.42,58.207
195,Firm-Service,1.6.7,PROD,Failed,79.33,37.33,359.61,110.4,303.53,4,0,58.33,206.96499999999997,115.961
196,Factor-Service,1.4.8,PROD,Success,34.28,30.19,142.08,144.0,172.14,1,0,32.235,158.07,34.208
197,Address-Service,1.8.0,UAT,Running,90.88,90.08,244.6,188.19,92.83,3,0,90.47999999999999,140.51,84.46000000000001
198,Nation-Service,1.2.9,QA,Running,57.46,69.11,283.53,189.8,292.1,4,0,63.285,240.95000000000002,108.353
199,Career-Service,1.7.4,PROD,Failed,71.65,87.87,127.15,61.61,197.77,1,0,79.76,129.69,32.715
200,Military-Service,1.1.4,UAT,Failed,95.88,99.31,190.83,31.98,333.74,3,0,97.595,182.86,79.083
201,Ten-Service,1.8.1,PROD,Success,64.67,73.92,273.69,144.44,209.95,3,0,69.295,177.195,87.369
202,Service-Service,1.7.6,PROD,Success,84.58,66.75,295.11,213.07,41.73,1,0,75.66499999999999,127.39999999999999,49.511
203,Arm-Service,1.8.1,UAT,Failed,82.85,64.72,275.9,206.57,102.29,5,0,73.785,154.43,127.59
204,Enjoy-Service,1.4.1,DEV,Running,49.67,32.92,290.72,199.49,78.51,4,0,41.295,139.0,109.072
205,Present-Service,1.9.3,PROD,Running,99.3,90.96,273.31,227.56,116.54,4,0,95.13,172.05,107.331
206,Sure-Service,1.0.8,PROD,Running,84.04,41.47,138.52,291.59,250.75,3,0,62.755,271.16999999999996,73.852
207,Almost-Service,1.0.0,DEV,Failed,80.04,70.91,331.75,101.02,222.86,2,0,75.475,161.94,73.175
208,Put-Service,1.3.5,PROD,Running,89.81,71.71,205.46,184.68,265.0,2,0,80.75999999999999,224.84,60.546
209,Year-Service,1.2.2,PROD,Failed,70.82,37.48,236.68,43.95,285.35,1,0,54.14999999999999,164.65,43.668
210,Citizen-Service,1.5.6,PROD,Failed,67.78,51.11,183.84,89.82,81.4,3,0,59.445,85.61,78.384
211,Foreign-Service,1.8.1,UAT,Success,78.42,80.14,326.7,202.65,49.16,2,0,79.28,125.905,72.67
212,Science-Service,1.9.1,UAT,Success,49.82,31.44,93.62,272.87,127.01,4,0,40.63,199.94,89.362
213,Let-Service,1.3.8,DEV,Running,75.42,48.56,236.7,92.25,215.95,1,0,61.99,154.1,43.67
214,Analysis-Service,1.7.0,DEV,Running,39.08,63.88,286.41,89.1,263.43,5,0,51.480000000000004,176.265,128.641
215,Pull-Service,1.5.4,UAT,Success,66.95,36.04,378.62,44.5,71.43,3,0,51.495000000000005,57.965,97.862
216,Teacher-Service,1.4.5,UAT,Success,93.53,73.05,337.64,234.39,58.48,2,0,83.28999999999999,146.435,73.764
217,Purpose-Service,1.4.9,PROD,Running,79.09,65.94,360.5,215.22,169.69,1,0,72.515,192.45499999999998,56.05
218,Strategy-Service,1.6.9,DEV,Running,48.18,83.36,61.34,139.71,230.14,1,0,65.77,184.925,26.134
219,Common-Service,1.3.7,PROD,Failed,53.21,29.64,344.36,242.76,247.89,0,0,41.425,245.325,34.436
220,Memory-Service,1.5.2,UAT,Running,90.96,32.77,170.51,205.63,337.22,5,0,61.864999999999995,271.425,117.051
221,Force-Service,1.0.5,QA,Running,28.46,92.88,208.75,129.93,274.62,0,0,60.67,202.275,20.875
222,Arm-Service,1.3.4,PROD,Running,80.03,47.64,78.11,125.77,130.11,3,0,63.835,127.94,67.811
223,Live-Service,1.6.2,PROD,Success,63.89,42.24,131.35,275.97,301.45,4,0,53.065,288.71000000000004,93.135
224,Help-Service,1.0.0,QA,Failed,64.76,77.81,44.15,299.01,41.96,3,0,71.285,170.48499999999999,64.415
225,State-Service,1.8.0,DEV,Success,99.81,92.26,76.32,130.66,312.44,5,0,96.035,221.55,107.632
226,Language-Service,1.6.9,DEV,Success,83.65,96.4,23.82,230.11,148.19,1,0,90.025,189.15,22.382
227,Trade-Service,1.9.9,QA,Success,83.42,47.2,178.46,285.28,213.85,0,1,65.31,249.565,17.846
228,Point-Service,1.8.3,UAT,Running,67.97,62.44,383.4,83.89,198.85,0,0,65.205,141.37,38.339999999999996
229,Interview-Service,1.8.4,PROD,Failed,21.24,42.85,40.23,92.8,344.03,0,1,32.045,218.415,4.023
