deployment_id,deployment_name,version,environment,status,cpu_usage,memory_usage,latency,build_duration,deployment_duration,error_count,healthy
114,Live-Service,1.0.6,PROD,Success,37.04,89.76,123.83,53.41,196.41,3,0
115,Owner-Service,1.0.8,PROD,Failed,41.94,47.31,253.3,225.55,233.24,1,0
116,Head-Service,1.7.3,DEV,Failed,45.26,85.98,261.58,167.63,57.74,1,0
117,Win-Service,1.7.8,QA,Success,66.11,92.35,253.92,193.67,296.02,1,0
118,Far-Service,1.3.3,PROD,Running,48.94,37.6,104.53,81.91,242.34,1,0
119,Series-Service,1.1.0,PROD,Running,45.77,26.26,73.47,206.14,204.72,0,1
120,Tell-Service,1.6.4,DEV,Failed,72.53,78.89,245.73,280.82,288.67,5,0
121,Position-Service,1.3.8,UAT,Running,49.96,71.36,397.69,288.11,280.34,4,0
122,Case-Service,1.9.4,PROD,Failed,60.16,37.06,336.64,128.05,139.65,5,0
123,Watch-Service,1.2.7,DEV,Running,59.48,40.05,212.23,170.18,300.59,0,1
124,Pull-Service,1.9.8,QA,Failed,95.38,95.89,382.77,246.92,116.38,4,0
125,Three-Service,1.1.4,QA,Running,29.58,65.79,330.9,253.13,148.76,3,0
126,Itself-Service,1.8.6,PROD,Success,82.92,87.93,91.94,170.99,220.93,4,0
127,Attention-Service,1.0.0,PROD,Failed,62.7,40.36,160.29,79.23,218.0,5,0
128,Job-Service,1.5.7,PROD,Success,86.91,53.91,124.36,160.28,122.9,5,0
129,World-Service,1.9.0,DEV,Failed,90.77,66.49,296.21,116.17,173.5,1,0
130,Leg-Service,1.5.1,QA,Failed,77.35,33.69,344.16,168.73,346.06,0,0
131,Record-Service,1.6.3,UAT,Success,24.71,52.66,27.65,75.43,45.29,0,1
132,Much-Service,1.6.3,QA,Failed,56.64,27.01,170.1,144.53,202.95,5,0
133,Plan-Service,1.6.5,PROD,Failed,66.45,33.7,393.57,255.68,128.63,0,0
134,Show-Service,1.8.0,UAT,Running,84.34,42.3,318.33,218.79,141.13,0,0
135,Meet-Service,1.7.9,UAT,Failed,71.55,59.86,168.37,252.57,174.54,3,0
136,Watch-Service,1.9.5,UAT,Success,78.69,35.33,352.2,57.52,107.36,1,0
137,Medical-Service,1.8.4,PROD,Success,27.54,69.64,399.0,226.27,303.75,5,0
138,Experience-Service,1.6.4,QA,Failed,97.02,79.84,199.9,156.85,103.92,0,0
139,Grow-Service,1.5.0,QA,Failed,21.1,43.53,243.52,170.84,327.78,0,1
140,Politics-Service,1.8.6,PROD,Running,29.43,98.89,354.31,85.49,250.41,2,0
141,Want-Service,1.3.6,UAT,Failed,34.74,44.53,333.78,160.79,256.83,2,0
142,Cultural-Service,1.2.7,DEV,Failed,96.5,62.13,60.5,39.97,205.33,3,0
143,Current-Service,1.2.1,QA,Failed,65.07,48.38,29.38,73.04,342.02,0,1
144,For-Service,1.5.9,DEV,Running,97.6,55.22,48.11,189.38,48.95,5,0
145,Require-Service,1.9.4,UAT,Running,65.72,47.11,191.18,85.04,102.79,1,0
146,Street-Service,1.0.1,QA,Running,78.86,63.57,250.57,143.47,295.2,5,0
147,Fire-Service,1.0.2,DEV,Success,44.22,36.51,204.55,168.01,290.57,2,0
148,Successful-Service,1.7.9,DEV,Running,22.72,20.26,176.73,119.34,297.48,0,1
149,Sense-Service,1.0.6,UAT,Running,89.79,48.13,344.98,253.28,329.45,5,0
150,Improve-Service,1.2.2,QA,Success,43.48,79.44,73.04,182.62,316.1,2,0
151,Never-Service,1.0.4,QA,Running,73.14,72.41,21.97,284.88,114.47,2,0
152,Role-Service,1.9.7,UAT,Running,80.66,91.98,256.97,205.06,231.66,4,0
153,Design-Service,1.9.4,QA,Running,67.95,59.01,301.23,34.96,153.34,5,0
154,Health-Service,1.3.3,PROD,Success,32.93,47.58,232.46,89.48,256.81,1,0
155,Avoid-Service,1.9.7,PROD,Running,91.16,29.58,77.77,204.81,248.85,4,0
156,Every-Service,1.4.2,UAT,Success,95.94,64.18,122.87,113.34,102.32,0,0
157,Where-Service,1.1.1,DEV,Failed,48.24,72.84,399.46,290.09,206.08,4,0
158,Rest-Service,1.4.0,QA,Success,53.18,97.08,292.09,121.51,74.14,4,0
159,Different-Service,1.1.8,DEV,Failed,39.21,83.16,286.97,265.25,289.34,2,0
160,Finish-Service,1.6.1,QA,Running,33.08,47.98,190.6,129.48,221.52,2,0
161,Fact-Service,1.3.3,DEV,Success,27.54,92.5,340.05,205.06,244.72,3,0
162,Investment-Service,1.8.1,PROD,Success,74.7,80.23,248.46,73.47,247.76,3,0
163,Business-Service,1.4.0,QA,Failed,78.68,81.59,306.02,252.03,230.12,0,0
164,Student-Service,1.2.4,QA,Running,36.55,40.06,266.84,277.08,214.43,2,0
165,Style-Service,1.8.0,DEV,Running,71.81,59.15,300.65,143.52,298.52,5,0
166,Really-Service,1.8.9,DEV,Running,87.66,87.26,305.88,47.36,134.73,1,0
167,Put-Service,1.6.0,QA,Success,73.89,54.33,43.41,38.05,88.1,2,0
168,And-Service,1.1.8,QA,Failed,26.21,80.1,35.33,205.95,229.72,3,0
169,Might-Service,1.8.5,QA,Running,68.67,57.58,80.79,74.49,67.5,5,0
170,Concern-Service,1.3.0,DEV,Running,90.16,56.91,70.15,68.82,273.55,4,0
171,International-Service,1.8.1,PROD,Success,69.31,88.13,393.2,75.48,245.11,1,0
172,Group-Service,1.9.4,UAT,Running,92.41,33.53,375.56,190.63,284.43,2,0
173,Sell-Service,1.7.4,UAT,Success,29.46,32.63,343.61,263.2,60.02,5,0
174,Health-Service,1.1.2,UAT,Running,90.64,53.11,295.58,117.7,224.48,4,0
175,Send-Service,1.6.9,QA,Failed,55.83,28.98,288.6,156.68,60.83,1,0
176,Dream-Service,1.2.4,UAT,Failed,80.32,83.3,301.6,78.87,349.46,5,0
177,Himself-Service,1.2.2,QA,Running,41.44,31.0,376.22,218.27,55.4,0,0
178,Reach-Service,1.2.0,PROD,Success,53.21,67.19,234.12,261.14,333.19,3,0
179,The-Service,1.9.6,PROD,Success,86.05,25.32,268.4,109.31,53.87,2,0
180,Number-Service,1.3.6,PROD,Running,28.32,62.5,343.09,69.93,88.2,5,0
181,Ten-Service,1.7.0,QA,Failed,47.01,72.69,379.88,78.9,65.28,2,0
182,Change-Service,1.5.8,DEV,Success,30.39,75.21,135.98,140.78,167.88,3,0
183,Reality-Service,1.0.9,DEV,Running,88.18,60.76,321.61,166.8,58.0,5,0
184,Wish-Service,1.1.8,PROD,Running,40.71,78.64,364.77,59.09,136.51,0,0
185,Fish-Service,1.3.0,QA,Failed,98.21,69.06,334.26,113.9,148.93,5,0
186,Study-Service,1.6.8,PROD,Success,41.06,50.47,392.99,148.98,81.26,3,0
187,Card-Service,1.6.9,QA,Success,67.79,46.38,383.82,194.79,126.47,2,0
188,Order-Service,1.5.0,UAT,Running,59.32,72.75,82.97,246.87,286.26,5,0
189,Oil-Service,1.5.2,DEV,Success,43.86,95.13,277.49,82.46,255.73,1,0
190,There-Service,1.7.3,UAT,Running,85.18,74.46,296.84,145.84,129.94,1,0
191,Body-Service,1.7.1,UAT,Failed,31.29,82.97,65.7,105.39,186.12,5,0
192,Kind-Service,1.6.6,DEV,Failed,95.12,95.49,373.47,170.45,57.2,1,0
193,Bit-Service,1.2.9,UAT,Success,40.18,65.58,240.05,172.48,327.81,3,0
194,Along-Service,1.8.4,PROD,Success,45.86,33.16,182.07,227.95,106.89,2,0
195,Firm-Service,1.6.7,PROD,Failed,79.33,37.33,359.61,110.4,303.53,4,0
196,Factor-Service,1.4.8,PROD,Success,34.28,30.19,142.08,144.0,172.14,1,0
197,Address-Service,1.8.0,UAT,Running,90.88,90.08,244.6,188.19,92.83,3,0
198,Nation-Service,1.2.9,QA,Running,57.46,69.11,283.53,189.8,292.1,4,0
199,Career-Service,1.7.4,PROD,Failed,71.65,87.87,127.15,61.61,197.77,1,0
200,Military-Service,1.1.4,UAT,Failed,95.88,99.31,190.83,31.98,333.74,3,0
201,Ten-Service,1.8.1,PROD,Success,64.67,73.92,273.69,144.44,209.95,3,0
202,Service-Service,1.7.6,PROD,Success,84.58,66.75,295.11,213.07,41.73,1,0
203,Arm-Service,1.8.1,UAT,Failed,82.85,64.72,275.9,206.57,102.29,5,0
204,Enjoy-Service,1.4.1,DEV,Running,49.67,32.92,290.72,199.49,78.51,4,0
205,Present-Service,1.9.3,PROD,Running,99.3,90.96,273.31,227.56,116.54,4,0
206,Sure-Service,1.0.8,PROD,Running,84.04,41.47,138.52,291.59,250.75,3,0
207,Almost-Service,1.0.0,DEV,Failed,80.04,70.91,331.75,101.02,222.86,2,0
208,Put-Service,1.3.5,PROD,Running,89.81,71.71,205.46,184.68,265.0,2,0
209,Year-Service,1.2.2,PROD,Failed,70.82,37.48,236.68,43.95,285.35,1,0
210,Citizen-Service,1.5.6,PROD,Failed,67.78,51.11,183.84,89.82,81.4,3,0
211,Foreign-Service,1.8.1,UAT,Success,78.42,80.14,326.7,202.65,49.16,2,0
212,Science-Service,1.9.1,UAT,Success,49.82,31.44,93.62,272.87,127.01,4,0
213,Let-Service,1.3.8,DEV,Running,75.42,48.56,236.7,92.25,215.95,1,0
214,Analysis-Service,1.7.0,DEV,Running,39.08,63.88,286.41,89.1,263.43,5,0
215,Pull-Service,1.5.4,UAT,Success,66.95,36.04,378.62,44.5,71.43,3,0
216,Teacher-Service,1.4.5,UAT,Success,93.53,73.05,337.64,234.39,58.48,2,0
217,Purpose-Service,1.4.9,PROD,Running,79.09,65.94,360.5,215.22,169.69,1,0
218,Strategy-Service,1.6.9,DEV,Running,48.18,83.36,61.34,139.71,230.14,1,0
219,Common-Service,1.3.7,PROD,Failed,53.21,29.64,344.36,242.76,247.89,0,0
220,Memory-Service,1.5.2,UAT,Running,90.96,32.77,170.51,205.63,337.22,5,0
221,Force-Service,1.0.5,QA,Running,28.46,92.88,208.75,129.93,274.62,0,0
222,Arm-Service,1.3.4,PROD,Running,80.03,47.64,78.11,125.77,130.11,3,0
223,Live-Service,1.6.2,PROD,Success,63.89,42.24,131.35,275.97,301.45,4,0
224,Help-Service,1.0.0,QA,Failed,64.76,77.81,44.15,299.01,41.96,3,0
225,State-Service,1.8.0,DEV,Success,99.81,92.26,76.32,130.66,312.44,5,0
226,Language-Service,1.6.9,DEV,Success,83.65,96.4,23.82,230.11,148.19,1,0
227,Trade-Service,1.9.9,QA,Success,83.42,47.2,178.46,285.28,213.85,0,1
228,Point-Service,1.8.3,UAT,Running,67.97,62.44,383.4,83.89,198.85,0,0
229,Interview-Service,1.8.4,PROD,Failed,21.24,42.85,40.23,92.8,344.03,0,1
230,Official-Service,1.9.1,PROD,Running,21.53,47.9,248.06,286.77,320.02,0,1
231,Station-Service,1.7.1,PROD,Success,64.54,99.9,304.99,230.07,200.98,2,0
232,Hit-Service,1.0.2,QA,Failed,86.58,75.03,365.54,55.49,139.77,5,0
233,Nearly-Service,1.6.6,PROD,Running,37.81,84.94,295.59,153.6,250.12,2,0
234,Year-Service,1.1.3,DEV,Success,93.49,37.93,261.01,281.08,322.99,2,0
235,Until-Service,1.8.7,QA,Running,78.27,31.59,304.91,274.97,209.2,2,0
236,Of-Service,1.2.3,UAT,Failed,24.11,58.43,156.17,126.24,190.81,0,1
237,Myself-Service,1.0.8,UAT,Running,92.44,88.86,335.73,203.08,197.49,4,0
238,Great-Service,1.1.1,PROD,Running,47.81,26.8,63.13,227.61,108.93,3,0
239,Suddenly-Service,1.5.4,UAT,Success,52.77,47.98,264.3,252.74,201.38,5,0
240,Run-Service,1.1.2,UAT,Running,78.27,48.13,133.29,291.29,137.82,4,0
241,Model-Service,1.8.6,DEV,Failed,23.54,51.88,75.73,277.54,93.71,4,0
242,Impact-Service,1.1.0,DEV,Running,70.33,45.43,375.85,182.12,264.18,1,0
243,Decade-Service,1.4.7,QA,Failed,97.05,83.45,355.1,235.89,121.96,2,0
244,Hot-Service,1.7.0,DEV,Success,51.6,72.0,83.42,85.88,307.75,2,0
245,Painting-Service,1.8.9,DEV,Running,91.3,37.67,332.6,256.63,145.35,1,0
246,Reach-Service,1.1.8,UAT,Running,85.92,69.7,301.75,131.72,262.07,2,0
247,Environment-Service,1.6.4,UAT,Success,49.75,43.1,289.94,105.87,245.02,5,0
248,National-Service,1.7.4,QA,Failed,24.99,48.69,89.93,254.99,296.86,3,0
249,Professional-Service,1.2.1,QA,Failed,51.89,80.05,261.49,214.95,227.71,5,0
250,Despite-Service,1.2.9,PROD,Success,66.61,95.71,141.58,178.98,219.51,2,0
251,Decision-Service,1.6.2,DEV,Failed,52.46,35.35,243.8,212.79,218.94,3,0
252,Recently-Service,1.2.0,QA,Success,37.88,45.79,360.28,114.46,316.0,4,0
253,Over-Service,1.8.3,DEV,Running,48.21,99.57,335.03,293.18,52.05,5,0
254,Spring-Service,1.0.7,DEV,Success,32.63,20.99,37.41,182.57,120.9,2,0
255,Might-Service,1.1.2,QA,Failed,72.86,59.56,166.92,44.08,175.17,0,1
256,Person-Service,1.9.4,QA,Running,27.62,39.21,359.66,170.71,87.07,2,0
257,Hit-Service,1.4.0,PROD,Success,25.73,41.31,40.84,225.75,251.52,0,1
258,Carry-Service,1.2.1,QA,Running,65.58,94.89,366.81,58.5,324.68,0,0
259,Condition-Service,1.6.6,PROD,Success,63.37,47.03,217.5,295.54,127.73,5,0
260,Article-Service,1.8.7,PROD,Failed,34.3,20.52,270.93,244.82,98.07,3,0
261,Stand-Service,1.4.5,PROD,Failed,21.32,41.57,284.06,238.01,196.36,4,0
262,Machine-Service,1.1.6,PROD,Success,43.24,45.89,260.67,280.63,294.07,3,0
263,Agency-Service,1.4.0,QA,Failed,31.76,46.54,266.58,204.32,284.29,3,0
264,Job-Service,1.2.8,DEV,Failed,21.85,44.17,362.71,47.64,298.35,4,0
265,North-Service,1.2.4,DEV,Success,81.25,86.05,327.72,284.12,229.67,1,0
266,Clear-Service,1.2.0,PROD,Success,74.01,84.92,302.96,224.43,325.42,1,0
267,Tree-Service,1.7.8,UAT,Failed,25.43,84.8,246.04,251.75,264.24,0,1
268,No-Service,1.7.9,QA,Running,27.67,81.67,317.34,79.12,188.87,4,0
269,Deep-Service,1.2.5,QA,Failed,81.53,37.08,137.57,170.59,255.6,4,0
270,Husband-Service,1.2.1,UAT,Running,55.09,92.37,380.59,114.95,243.0,0,0
271,Right-Service,1.4.0,DEV,Success,89.49,54.79,57.92,286.78,189.72,1,0
272,Week-Service,1.6.8,QA,Running,49.83,66.57,141.5,89.23,109.86,0,1
273,Direction-Service,1.4.9,UAT,Failed,90.47,75.09,254.28,198.59,56.57,3,0
274,Fund-Service,1.7.9,DEV,Failed,91.72,80.78,199.85,259.93,149.92,5,0
275,Indicate-Service,1.8.7,UAT,Failed,29.89,68.81,349.47,263.07,69.05,2,0
276,Lead-Service,1.7.8,DEV,Success,98.85,36.35,172.3,141.77,205.96,5,0
277,Live-Service,1.6.2,QA,Success,43.8,86.71,251.29,107.25,263.86,0,0
278,Something-Service,1.2.7,QA,Running,51.03,53.46,62.42,34.37,315.8,2,0
279,Final-Service,1.5.7,PROD,Failed,79.9,93.94,251.03,30.52,179.49,2,0
280,Choose-Service,1.5.4,QA,Running,29.4,56.35,50.91,162.4,307.17,5,0
281,Argue-Service,1.6.7,QA,Success,80.89,77.52,138.62,150.58,287.9,2,0
282,Myself-Service,1.0.2,QA,Running,55.55,29.79,237.56,111.33,212.73,3,0
283,Writer-Service,1.2.0,UAT,Running,85.34,47.05,375.35,216.69,207.67,5,0
284,Down-Service,1.0.9,PROD,Running,47.07,30.75,396.23,125.32,100.69,5,0
285,View-Service,1.1.8,UAT,Success,87.53,87.62,72.44,153.45,213.96,3,0
286,Lead-Service,1.8.9,DEV,Failed,62.12,98.2,81.77,137.38,155.46,2,0
287,Imagine-Service,1.7.5,UAT,Running,84.23,45.19,263.98,209.32,338.73,3,0
288,Race-Service,1.1.6,UAT,Failed,78.36,92.51,346.86,131.83,332.72,5,0
289,Any-Service,1.6.0,QA,Success,68.39,86.41,387.36,39.21,142.28,3,0
290,Health-Service,1.8.8,UAT,Running,60.88,50.6,283.96,71.97,193.55,1,0
291,Important-Service,1.4.9,PROD,Failed,64.73,34.4,227.98,73.36,334.09,2,0
292,Especially-Service,1.7.7,UAT,Running,25.67,94.61,248.26,205.98,156.4,0,0
293,Statement-Service,1.5.9,PROD,Running,75.04,95.65,175.46,163.47,56.08,2,0
294,Trade-Service,1.5.4,DEV,Running,36.97,29.59,322.87,72.91,281.95,5,0
295,State-Service,1.1.6,QA,Running,50.15,27.26,359.71,169.91,332.98,5,0
296,Very-Service,1.0.2,QA,Success,62.75,64.7,343.12,232.39,65.22,5,0
297,Since-Service,1.1.3,UAT,Running,27.6,36.94,235.84,60.77,296.24,4,0
298,Bad-Service,1.8.3,DEV,Running,84.95,93.27,342.32,150.86,191.0,1,0
299,Meet-Service,1.8.5,QA,Failed,98.08,96.84,184.93,100.83,97.79,5,0
300,Left-Service,1.9.8,DEV,Success,45.9,84.76,351.09,30.82,151.71,1,0
301,Interesting-Service,1.3.6,DEV,Running,23.82,99.19,263.78,231.41,248.23,0,0
302,Person-Service,1.8.1,DEV,Running,92.62,70.15,70.41,192.43,242.31,1,0
303,Act-Service,1.8.3,QA,Failed,34.03,39.53,369.09,113.86,50.81,1,0
304,Guess-Service,1.3.0,PROD,Running,27.98,55.68,126.88,187.42,268.45,5,0
